id,loan_amnt_USD,loan_amnt_EUR,funded_amnt_USD,funded_amnt_EUR,int_rate,installment_USD,installment_EUR,total_pymnt_USD,total_pymnt_EUR,exchange_rate,issue_date,loan_status,term_months,sub_grade,verification_status,addr_state
373332,9950,9038.082814,1000,908.3500316,0.1825,360.97,327.8871109,1072.82,974.4960809,1.100897193,10,1,36,21,0,1
575239,12000,10900.20038,12000,10900.20038,0.2099,324.58,294.8322533,959.75,871.7889428,1.100897193,10,1,60,25,1,2
707689,10000,8924.299805,10000,8924.299805,0.1366,340.13,303.5422093,3726.25,3325.417215,1.120536089,2,1,36,13,1,0
709828,27200,24707.12086,27200,24707.12086,0.2899,553.87,503.107832,41913.62,38072.23805,1.100897193,10,1,60,6,0,4
849994,11400,10526.07649,11400,10526.07649,0.2899,376.09,347.2589567,3753.6,3465.849185,1.083024621,3,0,36,10,0,1
1312426,15000,13496.09996,15000,13496.09996,0.1561,361.67,325.4089649,2880.35,2591.566102,1.111432195,4,1,60,16,1,4
4526500,10800,9717.191972,10800,9717.191972,0.2899,328.22,295.312662,2950.42,2654.610883,1.111432195,4,1,36,1,1,2
6736790,18000,15946.201,18000,15946.201,0.2899,370.78,328.4740225,4432.02,3926.326763,1.128795505,1,1,60,6,1,1
8138291,10350,9236.650298,1000,892.4299805,0.2299,291.72,260.3396739,1432.16,1278.102521,1.120536089,2,0,60,26,1,4
8214572,7000,6247.009863,7000,6247.009863,0.2899,233.81,208.6590537,7300.41,6515.104754,1.120536089,2,1,36,11,1,2
12606806,24975,22253.47379,24975,22253.47379,0.2899,549.65,489.7546294,3831.55,3414.025926,1.122296691,6,1,60,10,1,2
13026045,12000,10709.15977,12000,10709.15977,0.2899,275.07,245.4807147,2799.58,2498.429125,1.120536089,2,1,60,13,1,2
14187903,12000,10709.15977,12000,10709.15977,0.1399,279.16,249.1307534,2846.33,2540.150226,1.120536089,2,1,60,15,1,4
14428496,21000,18603.90116,21000,18603.90116,0.2899,471.29,417.5158371,5155.28,4567.062837,1.128795505,1,1,60,11,1,4
14470171,21000,18894.53995,21000,18894.53995,0.2899,687.42,618.499269,41913.62,37711.36035,1.111432195,4,1,36,9,1,1
14550531,32000,29067.20101,32000,29067.20101,0.2899,1005.43,913.2823723,3089,2805.893248,1.100897193,10,1,36,6,1,0
14669896,21500,19046.85119,21500,19046.85119,0.2899,482.51,427.4556357,23855.94,21133.97857,1.128795505,1,1,60,11,1,1
